pH,Dissolved_Oxygen_mgL,Turbidity_NTU,Total_Dissolved_Solids_mgL,Nitrate_mgL,Phosphate_mgL,Temperature_C,Heavy_Metals_ppm,Safe_for_Humans,Safe_for_Animals,Safe_for_Plants
6.81,5.14,57.2,989.97,36.01,3.74,24.6,0.037,Unsafe,Safe,Unsafe
8.83,4.96,80.54,299.96,34.36,3.33,7.4,0.045,Unsafe,Safe,Unsafe
8.06,12.88,76.02,1314.97,4.79,1.76,12.3,0.326,Unsafe,Safe,Safe
7.6,4.99,15.39,939.02,46.13,6.07,28.2,0.243,Unsafe,Safe,Unsafe
6.05,5.26,14.92,277.95,28.42,4.77,20.9,0.395,Unsafe,Safe,Safe
6.05,11.11,26.82,1445.39,18.19,8.66,32.8,0.458,Unsafe,Safe,Unsafe
5.7,7.4,36.11,801.63,37.83,0.32,17.9,0.194,Unsafe,Unsafe,Unsafe
8.53,11.32,40.85,155.7,12.87,6.44,31.1,0.298,Unsafe,Safe,Unsafe
7.6,2.78,67.97,958.91,34.68,7.63,18.5,0.25,Unsafe,Unsafe,Unsafe
7.98,7.85,5.67,417.14,1.99,7.59,34.4,0.491,Unsafe,Safe,Unsafe
5.57,2.4,3.47,1215.36,41.97,8.86,33.8,0.416,Unsafe,Unsafe,Unsafe
8.89,2.75,39.19,1235.84,22.41,7.29,14.9,0.456,Unsafe,Unsafe,Unsafe
8.41,12.88,69.72,1469.47,31.83,9.28,31.6,0.127,Unsafe,Safe,Unsafe
6.24,3.67,19.34,777.71,11.06,3.33,30.4,0.386,Unsafe,Unsafe,Safe
6.14,8.39,64.15,709.69,33.85,5.03,11.3,0.133,Unsafe,Safe,Unsafe
6.14,6.93,25.98,1142.54,38.61,0.14,23.7,0.104,Unsafe,Safe,Unsafe
6.56,6.17,88.61,242.08,23.66,0.07,7.2,0.472,Unsafe,Safe,Safe
7.34,12.8,89.57,843.03,30.89,2.4,30.1,0.01,Unsafe,Safe,Unsafe
7.01,2.26,29.73,842.06,22.82,1.01,10.2,0.483,Unsafe,Unsafe,Safe
6.52,9.97,23.0,179.74,44.7,2.6,7.1,0.075,Unsafe,Safe,Unsafe
7.64,13.56,41.13,656.08,24.89,1.77,17.0,0.41,Unsafe,Safe,Safe
5.99,8.72,24.05,1287.26,42.09,0.29,22.3,0.138,Unsafe,Unsafe,Unsafe
6.52,13.24,67.24,1291.42,40.07,9.09,30.6,0.175,Unsafe,Safe,Unsafe
6.78,2.63,82.61,193.89,20.53,0.08,34.2,0.108,Unsafe,Unsafe,Safe
7.1,7.03,67.31,181.55,11.5,7.36,18.2,0.293,Unsafe,Safe,Unsafe
8.25,5.12,82.44,430.91,20.3,1.52,6.8,0.174,Unsafe,Safe,Safe
6.2,10.77,39.7,1318.41,41.31,9.12,27.5,0.329,Unsafe,Safe,Unsafe
7.3,13.78,15.63,236.91,11.38,8.93,22.0,0.008,Safe,Safe,Unsafe
7.57,5.08,73.8,1094.0,26.22,6.54,18.4,0.032,Unsafe,Safe,Unsafe
5.66,9.85,36.05,196.69,40.3,6.72,14.3,0.05,Unsafe,Unsafe,Unsafe
7.63,4.38,67.13,953.55,17.67,0.05,20.1,0.209,Unsafe,Safe,Safe
6.1,8.78,27.06,566.3,32.11,9.85,15.2,0.407,Unsafe,Safe,Unsafe
5.73,7.57,8.12,1193.93,12.28,8.78,27.7,0.444,Unsafe,Unsafe,Unsafe
8.82,13.66,99.26,388.85,5.46,8.95,21.3,0.122,Unsafe,Safe,Unsafe
8.88,9.3,15.62,976.84,39.72,6.59,31.3,0.287,Unsafe,Safe,Unsafe
8.33,6.19,98.84,391.74,4.95,3.45,21.3,0.384,Unsafe,Safe,Safe
6.57,3.37,97.73,1084.81,13.57,8.94,12.1,0.144,Unsafe,Unsafe,Unsafe
5.84,3.81,79.38,1316.83,42.76,2.92,30.5,0.205,Unsafe,Unsafe,Unsafe
7.89,4.7,65.94,233.86,17.32,5.63,21.7,0.262,Unsafe,Safe,Unsafe
7.04,5.01,57.78,1306.56,48.65,1.0,11.2,0.067,Unsafe,Safe,Unsafe
5.93,12.21,86.61,910.68,48.99,9.22,23.7,0.013,Unsafe,Unsafe,Unsafe
7.23,8.73,28.94,234.31,13.41,1.41,15.7,0.076,Unsafe,Safe,Safe
5.62,8.28,46.77,669.94,2.05,2.25,30.3,0.313,Unsafe,Unsafe,Safe
8.68,3.38,61.94,283.25,35.25,5.58,18.6,0.037,Unsafe,Unsafe,Unsafe
6.41,12.32,41.12,1065.5,22.55,7.64,26.8,0.095,Unsafe,Safe,Unsafe
7.82,10.67,42.75,1150.36,5.04,6.19,7.9,0.169,Unsafe,Safe,Unsafe
6.59,2.81,33.03,203.4,35.38,2.32,16.9,0.039,Unsafe,Unsafe,Unsafe
7.32,10.49,56.42,783.9,1.56,0.01,34.5,0.096,Unsafe,Safe,Safe
7.41,8.52,85.06,1231.21,43.51,7.57,29.3,0.456,Unsafe,Safe,Unsafe
6.15,2.98,20.15,1407.44,6.93,9.85,9.8,0.01,Unsafe,Unsafe,Unsafe
8.89,7.5,93.44,794.6,6.37,8.1,13.3,0.327,Unsafe,Safe,Unsafe
8.21,7.82,68.91,1427.9,8.78,4.6,14.9,0.192,Unsafe,Safe,Safe
8.79,3.99,82.33,826.75,48.01,9.04,24.5,0.336,Unsafe,Unsafe,Unsafe
8.63,13.35,55.62,621.58,34.66,4.1,27.7,0.294,Unsafe,Safe,Unsafe
7.59,12.2,77.95,1279.89,40.07,5.25,27.5,0.112,Unsafe,Safe,Unsafe
8.73,10.03,1.62,764.82,19.88,4.77,20.3,0.424,Unsafe,Safe,Unsafe
5.81,7.55,81.84,734.26,16.82,4.48,29.3,0.246,Unsafe,Unsafe,Safe
6.19,6.94,4.01,760.95,11.72,7.75,18.1,0.411,Unsafe,Safe,Unsafe
5.66,9.81,88.99,1277.84,24.03,5.27,8.7,0.203,Unsafe,Unsafe,Unsafe
6.64,8.55,99.2,1256.32,27.59,3.17,21.9,0.492,Unsafe,Safe,Safe
6.86,2.75,29.41,635.1,31.59,2.58,33.6,0.385,Unsafe,Unsafe,Unsafe
6.45,8.15,21.03,533.28,12.86,0.38,28.8,0.483,Unsafe,Safe,Safe
8.4,11.68,76.54,763.3,47.43,5.83,22.4,0.257,Unsafe,Safe,Unsafe
6.75,7.51,25.3,880.52,8.49,2.3,24.4,0.237,Unsafe,Safe,Safe
6.48,2.62,86.56,395.59,48.28,1.48,32.9,0.378,Unsafe,Unsafe,Unsafe
7.4,11.44,10.28,1201.23,0.74,6.54,17.9,0.44,Unsafe,Safe,Unsafe
5.99,4.42,12.6,755.4,24.06,6.81,14.9,0.482,Unsafe,Unsafe,Unsafe
8.31,5.1,97.92,534.37,16.67,7.52,34.3,0.162,Unsafe,Safe,Unsafe
5.76,3.98,67.38,204.89,22.46,5.04,30.9,0.399,Unsafe,Unsafe,Unsafe
8.95,5.96,84.69,396.33,28.53,8.94,14.7,0.105,Unsafe,Safe,Unsafe
8.2,11.08,32.43,1426.46,21.78,9.36,18.9,0.273,Unsafe,Safe,Unsafe
6.2,8.23,67.65,492.39,20.74,8.07,17.5,0.09,Unsafe,Safe,Unsafe
5.52,4.46,59.42,294.85,36.64,6.36,9.5,0.174,Unsafe,Unsafe,Unsafe
8.35,12.53,60.32,717.98,34.29,3.04,33.7,0.466,Unsafe,Safe,Unsafe
7.97,12.55,68.25,495.28,41.66,9.83,17.1,0.073,Unsafe,Safe,Unsafe
8.05,12.45,57.54,100.98,12.5,2.74,31.3,0.316,Unsafe,Safe,Safe
8.2,4.87,42.91,518.56,30.48,2.03,10.7,0.296,Unsafe,Safe,Unsafe
5.76,7.41,27.59,838.96,29.26,4.42,21.4,0.06,Unsafe,Unsafe,Safe
6.75,13.82,76.86,849.98,18.49,0.57,5.7,0.163,Unsafe,Safe,Safe
5.91,11.26,22.63,567.01,24.3,9.78,27.9,0.281,Unsafe,Unsafe,Unsafe
8.52,2.33,69.24,698.59,15.69,5.88,22.4,0.094,Unsafe,Unsafe,Unsafe
7.68,2.78,23.33,1450.0,7.09,5.57,23.8,0.4,Unsafe,Unsafe,Unsafe
6.66,7.57,62.53,597.16,10.69,6.56,6.6,0.486,Unsafe,Safe,Unsafe
5.72,12.91,74.71,424.43,5.28,4.97,11.3,0.107,Unsafe,Unsafe,Safe
